"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"276","205230_at",-0.464428980335272,8.3129764122972,-3.85651816914741,0.000173503098762409,0.00236333099873357,0.52252608340155,"RPH3A","22895"
"650","215311_at",-0.549485680466058,9.14494125692323,-3.85685591212941,0.000173286373959525,0.00236333099873357,0.523678338324099,"NTRK3","4916"
"71","201877_s_at",-0.502871199936164,9.65106578076436,-3.85276714726822,0.000175927456740463,0.00238985101347453,0.509734440614388,"PPP2R5C","5527"
"542","212980_at",0.420977019431201,7.55702333064555,3.85192558111969,0.00017647578119997,0.00239002406299286,0.506865930003248,"AHSA2","130872"
"546","213009_s_at",-0.488174392507135,11.0298815694848,-3.84428031405048,0.000181532010216948,0.0024516143751428,0.48082988556735,"TRIM37","4591"
"516","212554_at",-0.559776638555327,8.78109695102954,-3.84235959194237,0.000182823752369623,0.00246445736651839,0.474295401626725,"CAP2","10486"
"186","203855_at",-0.546010061122013,10.2427494221796,-3.84009805374074,0.000184355897256586,0.0024735841353611,0.466604805763003,"WDR47","22911"
"505","212372_at",-0.457452411392476,10.9697267437822,-3.83545103789104,0.000187542518813573,0.00249550597251105,0.450813615288085,"MYH10","4628"
"158","203339_at",-0.613066790494131,8.60509533473969,-3.82959713455432,0.000191631242006657,0.00253591425835708,0.430943235216874,"SLC25A12","8604"
"420","209550_at",-0.414198115845011,10.0660261940787,-3.82704927721182,0.000193437136715846,0.00255280542468796,0.422302494772931,"NDN","4692"
"693","218139_s_at",-0.512007134262337,9.41902192561959,-3.82553739535156,0.000194516370509318,0.00255771343913344,0.417177333190694,"AP5M1","55745"
"753","219569_s_at",-0.45940538038534,9.05017938612622,-3.82579687110251,0.000194330742173395,0.00255771343913344,0.418056819392401,"SLC35G2","80723"
"703","218319_at",0.438852079620604,8.58702311705738,3.82345806219311,0.000196010013172614,0.00257267588977195,0.410131229990204,"PELI1","57162"
"262","204945_at",-0.433796128620623,7.71897482960666,-3.82071045452984,0.000198000404213225,0.00259604742548701,0.400825338641069,"PTPRN","5798"
"531","212810_s_at",-0.42589803365729,9.6681764463017,-3.81372109827864,0.000203150406919471,0.00263767278786645,0.377177434015399,"SLC1A4","6509"
"559","213222_at",-0.513470165363552,10.2609542292818,-3.80409956442593,0.00021044821696752,0.00271536396986459,0.344681123936935,"PLCB1","23236"
"718","218597_s_at",-0.490398968982632,9.73438803944918,-3.7808369060658,0.000229134191141644,0.00290974270471706,0.266387595319855,"CISD1","55847"
