"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"2599","203498_at",-0.775795883257416,11.9029596456654,-6.18617044466107,6.15590413992151e-09,1.30529372858643e-06,10.1497619117487,"RCAN2","10231"
"1504","202188_at",-0.364874951855526,8.74061281194987,-6.17913869995182,6.37601207443644e-09,1.30945804114953e-06,10.1164172958024,"NUP93","9688"
"8812","212992_at",-0.877147775651986,8.18671524086242,-6.17751931398234,6.42778767433744e-09,1.30945804114953e-06,10.1087411737758,"AHNAK2","113146"
"2218","203039_s_at",-0.590058127059269,8.96475623276298,-6.16951273933198,6.6899104690687e-09,1.31301236018465e-06,10.0708055281367,"NDUFS1","4719"
"4005","205413_at",-0.94551815988339,7.73640244842695,-6.17213500542081,6.60292522083181e-09,1.31301236018465e-06,10.0832269315522,"MPPED2","744"
"9939","214728_x_at",-0.417427357283763,9.62865746293959,-6.16868596656573,6.71756876753761e-09,1.31301236018465e-06,10.066889808581,"SMARCA4","6597"
"11322","218058_at",0.306608835142026,8.60958650297881,6.16378077602561,6.8839897779333e-09,1.32760037530703e-06,10.0436641859596,"CXXC1","30827"
"411","200955_at",-0.515355341696219,10.0362923381399,-6.15918185163377,7.04369642975209e-09,1.34052664684124e-06,10.0218981873069,"IMMT","10989"
"3464","204622_x_at",-1.05327414598748,7.91465121949354,-6.15489788255427,7.19573798101778e-09,1.35167732672001e-06,10.0016310891398,"NR4A2","4929"
"2756","203680_at",-1.02954364093389,9.37798525370044,-6.13341492616783,8.00817371715114e-09,1.46620537525157e-06,9.90011758900087,"PRKAR2B","5577"
"3603","204811_s_at",-0.608616571402442,9.25438828715128,-6.13350326519895,8.0046551228938e-09,1.46620537525157e-06,9.90053460519344,"CACNA2D2","9254"
"4148","205632_s_at",-1.25901737685169,8.81214324564591,-6.11135230706254,8.93623328800412e-09,1.61567097847114e-06,9.79607515114325,"PIP5K1B","8395"
"4509","206197_at",-0.598458820807993,8.33066340249639,-6.10846778354045,9.06512448647822e-09,1.61874025398051e-06,9.78248818102372,"NME5","8382"
"10335","215645_at",0.567016591232305,7.96749084640604,6.09779790280477,9.55795946454182e-09,1.68593080116016e-06,9.73226171189478,"FLCN","201163"
"10550","216215_s_at",-0.510035933257253,9.92438182844001,-6.08722356767099,1.00723155133092e-08,1.75525266969282e-06,9.68253460972432,"RBFOX2","23543"
"5463","208002_s_at",-0.966891057140648,10.0534536663449,-6.07551903971415,1.06733709927455e-08,1.83785283379845e-06,9.62755038580036,"ACOT7","11332"
"5843","208693_s_at",-0.458339183400712,10.680700479605,-6.07279126125612,1.08184320313507e-08,1.84091530472302e-06,9.6147448705447,"GARS","2617"
"8512","212627_s_at",-0.411915806366512,9.25985765734396,-6.06750498548165,1.11050843552505e-08,1.85201904801069e-06,9.58993794691536,"EXOSC7","23016"
