"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_symbol","ENTREZ_GENE_ID"
"21886","219109_at",-1.25054323338305,4.37480603492808,-4.01802990397816,0.000701543489881162,0.22766301301245,-0.389208944150242,"SPAG16","79582"
"22250","219485_s_at",-1.87230930347731,5.28282124098245,-4.50828765066956,0.000226098092664012,0.22766301301245,0.539622314509745,"PSMD10","5716"
"22502","219750_at",-1.88740299360153,3.8331123768868,-4.53756058753616,0.000211371354729653,0.22766301301245,0.594529549880244,"TMEM144","55314"
"23215","220529_at",1.16159397102785,3.91608843979656,4.02126889808783,0.000696306052557061,0.22766301301245,-0.38303146727108,"FLJ11710","79904"
"23512","220929_at",0.893417692051921,2.24620533795574,4.0540724207316,0.000645416615372896,0.22766301301245,-0.32048684880903,"GALNT8","26290"
"23521","220939_s_at",-1.69855908518786,4.57380556313705,-4.43724205607462,0.00026629422879091,0.22766301301245,0.406047551093676,"DPP8","54878"
"23780","221268_s_at",-1.20508800470567,2.62070983028547,-4.23586185758421,0.000423885609541831,0.22766301301245,0.0253010561517488,"SGPP1","81537"
"24251","221803_s_at",-1.00877281549796,3.35133662979025,-4.09601006987797,0.000585738819355947,0.22766301301245,-0.240582660304137,"NRBF2","29982"
"24335","221895_at",-1.44978046957001,3.35078310503907,-4.01616500675869,0.000704576863619517,0.22766301301245,-0.392765858792281,"MOSPD2","158747"
"24803","222500_at",-1.43935097923346,3.58586790300106,-4.26101841662775,0.000399944700405239,0.22766301301245,0.0730153840248837,"PPIL1","51645"
"25286","223017_at",-1.50436013205946,3.62266862365865,-4.11876499079239,0.000555703789557377,0.22766301301245,-0.197257087827216,"TXNDC12","51060"
"25290","223021_x_at",-1.77875530419367,4.00514292974781,-4.44179187402422,0.000263516484102124,0.22766301301245,0.414614644657745,"VTA1","51534"
"25311","223043_at",-1.73311134390442,4.11553779498797,-4.24880861917701,0.000411389938737046,0.22766301301245,0.049861922791,"EMC4","51234"
"25449","223191_at",-1.59189617968046,5.42111204855835,-4.55299821834936,0.000203998873956337,0.22766301301245,0.623454102422217,"COX16","51241"
"25687","223442_at",-1.22642153486062,3.17378357480916,-4.29985273112406,0.000365625990077155,0.22766301301245,0.146594155684857,"NICN1","84276"
"26668","224647_at",-1.37387112832298,2.94475691275676,-4.48260352018668,0.000239870288020456,0.22766301301245,0.491383212373547,"CCNY","219771"
"26808","224801_at",-1.88218975830873,3.47352469817224,-4.38690450770175,0.000299067774616966,0.22766301301245,0.31115282104868,"NDFIP2","54602"
"27098","225110_at",-1.88452713773638,3.93742750364887,-4.16453719199907,0.000499879749478365,0.22766301301245,-0.11017725042335,"OGFOD1","55239"
"27101","225113_at",-1.59055752836254,4.58323470459203,-4.13014560387811,0.00054126585604804,0.22766301301245,-0.175596776238465,"AGPS","8540"
"27227","225246_at",-1.49095814542443,3.70700404733083,-4.19478166763851,0.000466114078201807,0.22766301301245,-0.0526952220393744,"STIM2","57620"
"27291","225313_at",-1.57131096421313,3.98815781511078,-4.38357913505331,0.00030137078108605,0.22766301301245,0.304876922117557,"FAM217B","63939"
"27594","225639_at",-1.81016246296609,4.12103791710481,-4.01120783520466,0.000712703906926597,0.22766301301245,-0.402221165086324,"SKAP2","8935"
"27757","225811_at",-1.51254468539743,3.61866028135947,-4.01446673539487,0.000707350613325353,0.22766301301245,-0.396005058786211,"C11orf58","10944"
"27890","225953_at",-1.68761825873089,3.7982977709212,-4.28709812117906,0.000376558049559576,0.22766301301245,0.122438989439421,"RPRD1A","55197"
"27974","226041_at",-1.56734938863093,3.2473654939272,-4.49038454192071,0.000235610908150689,0.22766301301245,0.506003420725467,"NAPEPLD","222236"
"28004","226073_at",-0.909963749662929,2.52401627473968,-4.0850459565045,0.000600785793506478,0.22766301301245,-0.261466121931564,"TMEM218","219854"
"28214","226290_at",-1.74001427451691,4.06323678232724,-4.36867361046786,0.000311915107875497,0.22766301301245,0.276735731867486,"BDP1","55814"
"28627","226736_at",-1.81765133363208,4.36491213548694,-4.01119656596726,0.000712722488626464,0.22766301301245,-0.402242660847405,"CHURC1","91612"
"28663","226775_at",-1.67473229503977,3.93560543699615,-4.12401713567816,0.000548993360826047,0.22766301301245,-0.187260146811133,"ENY2","56943"
"28710","226826_at",-1.93108321098242,3.60955533126853,-4.05735588312008,0.000640532300416904,0.22766301301245,-0.314228465413451,"LSM11","134353"
